Roll Number,Professional Elective 1,Professional Elective 2,Core Section
2205678,,,CSE-33
2205679,,,CSE-03
2205680,,,CSE-31
2205681,,,CSE-34
2205682,,,CSE-03
2205683,,,CSE-53
2205684,,,CSE-03
2205685,,,CSE-50
2205686,,,CSE-52
2205687,,,CSE-34
2205688,,,CSE-27
2205689,,,CSE-45
2205690,,,CSE-27
2205691,,,CSE-03
2205693,,,CSE-23
2205694,,,CSE-20
2205695,,,CSE-36
2205696,,,CSE-49
2205697,,,CSE-51
2205698,,,CSE-25
2205699,,,CSE-05
2205700,,,CSE-06
2205701,,,CSE-05
2205702,,,CSE-05
2205703,,,CSE-24
2205704,,,CSE-24
2205705,,,CSE-01
2205706,,,CSE-36
2205707,,,CSE-10
2205708,,,CSE-34
2205709,,,CSE-30
2205710,,,CSE-29
2205711,,,CSE-44
2205712,,,CSE-36
2205714,,,CSE-34
2205715,,,CSE-51
2205716,,,CSE-04
2205717,,,CSE-05
2205719,,,CSE-32
2205720,,,CSE-50
2205721,,,CSE-45
2205722,,,CSE-28
2205723,,,CSE-12
2205724,,,CSE-55
2205725,,,CSE-10
2205726,,,CSE-49
2205727,,,CSE-24
2205728,,,CSE-06
2205729,,,CSE-31
2205730,,,CSE-15
2205731,,,CSE-23
2205732,,,CSE-34
2205733,,,CSE-33
2205734,,,CSE-33
2205735,,,CSE-54
2205736,,,CSE-35
2205737,,,CSE-06
2205738,,,CSE-05
2205739,,,CSE-33
2205740,,,CSE-11
2205741,,,CSE-42
2205742,,,CSE-44
2205743,,,CSE-34
2205745,,,CSE-35
2205746,,,CSE-22
2205747,,,CSE-26
2205748,,,CSE-21
2205749,,,CSE-33
2205750,,,CSE-49
2205751,,,CSE-25
2205753,,,CSE-24
2205754,,,CSE-12
2205755,,,CSE-40
2205756,,,CSE-07
2205757,,,CSE-13
2205758,,,CSE-19
2205759,,,CSE-05
2205760,,,CSE-32
2205762,,,CSE-38
2205763,,,CSE-54
2205764,,,CSE-50
2205765,,,CSE-01
2205766,,,CSE-34
2205767,,,CSE-47
2205769,,,CSE-04
2205770,,,CSE-50
2205772,,,CSE-01
2205773,,,CSE-54
2205774,,,CSE-18
2205775,,,CSE-46
2205776,,,CSE-37
2205777,,,CSE-35
2205778,,,CSE-38
2205779,,,CSE-35
2205781,,,CSE-43
2205782,,,CSE-52
2205784,,,CSE-24
2205785,,,CSE-35
2205786,,,CSE-03
2205787,,,CSE-03
2205789,,,CSE-47
2205790,,,CSE-35
2205791,,,CSE-19
2205792,,,CSE-40
2205793,,,CSE-53
2205795,,,CSE-33
2205796,,,CSE-19
2205797,,,CSE-47
2205798,,,CSE-20
2205799,,,CSE-26
2205800,,,CSE-04
2205801,,,CSE-48
2205802,,,CSE-31
2205803,,,CSE-19
2205804,,,CSE-02
2205805,,,CSE-03
2205806,,,CSE-50
2205807,,,CSE-04
2205808,,,CSE-50
2205809,,,CSE-19
2205810,,,CSE-07
2205811,,,CSE-53
2205812,,,CSE-49
2205813,,,CSE-50
2205815,,,CSE-52
2205816,,,CSE-02
2205818,,,CSE-48
2205819,,,CSE-43
2205820,,,CSE-48
2205821,,,CSE-17
2205822,,,CSE-02
2205823,,,CSE-15
2205824,,,CSE-15
2205825,,,CSE-28
2205826,,,CSE-48
2205827,,,CSE-51
2205828,,,CSE-51
2205829,,,CSE-12
2205831,,,CSE-21
2205832,,,CSE-03
2205833,,,CSE-48
2205834,,,CSE-13
2205835,,,CSE-01
2205836,,,CSE-42
2205837,,,CSE-55
2205838,,,CSE-48
2205839,,,CSE-28
2205840,,,CSE-17
2205841,,,CSE-41
2205842,,,CSE-15
2205843,,,CSE-13
2205845,,,CSE-51
2205846,,,CSE-53
2205847,,,CSE-53
2205848,,,CSE-52
2205849,,,CSE-39
2205850,,,CSE-42
2205851,,,CSE-52
2205853,,,CSE-18
2205854,,,CSE-40
2205855,,,CSE-08
2205856,,,CSE-08
2205857,,,CSE-18
2205858,,,CSE-45
2205859,,,CSE-18
2205860,,,CSE-51
